1,CDM GROSS CHARGE AND CASH PAY SECTION,ProcedureCode,ProcedureDescription,Lawson Number,NDC,Revenue Code,CPT Code,, Default Charge , ER Charge , Inpatient Therapy ,Cash Charge
2,11000004,11000004,HC PRIVATE MOST COMMON,,,110,,, -   , -   , -   , -   
3,11000004,11000004,HC PRIVATE MOST COMMON MRHS,,,110,,,, -   , -   , -   
4,12000005,12000005,HC SEMI-PRIVATE OBSTETRICS,,,120,,,"2,445", -   , -   ,978
5,12000005,12000005,HC SEMI-PRIVATE OBSTETRICS MRHS,,,120,,,, -   , -   , -   
6,12300001,12300001,HC SEMI-PRIVATE PEDS,,,123,,,"2,311", -   , -   ,924
7,12300001,12300001,HC SEMI-PRIVATE PEDS MRHS,,,123,,,, -   , -   , -   
8,12400001,12400001,HC SEMI-PRIVATE PSYCH,,,124,,, -   , -   , -   , -   
9,12400001,12400001,HC SEMI-PRIVATE PSYCH MRHS,,,124,,,, -   , -   , -   
10,12600001,12600001,HC SEMI-PRIVATE DETOX,,,126,,, -   , -   , -   , -   
11,12600001,12600001,HC SEMI-PRIVATE DETOX MRHS,,,126,,,, -   , -   , -   
12,12800001,12800001,HC SEMI-PRIVATE REHAB,,,128,,, -   , -   , -   , -   
13,12800001,12800001,HC SEMI-PRIVATE REHAB MRHS,,,128,,,, -   , -   , -   
14,12800002,12800002,HC PEDIATRIC REHAB SEMI-PRIVATE,,,128,,, -   , -   , -   , -   
15,12800002,12800002,HC PEDIATRIC REHAB SEMI-PRIVATE MRHS,,,128,,,, -   , -   , -   
16,12800003,12800003,HC SEMI-PRIVATE REHAB TELE,,,128,,, -   , -   , -   , -   
17,12800003,12800003,HC SEMI-PRIVATE REHAB TELE MRHS,,,128,,,, -   , -   , -   
18,16400002,16400002,HC ISOLATION,,,164,,, -   , -   , -   , -   
19,16400002,16400002,HC ISOLATION MRHS,,,164,,,, -   , -   , -   
20,17100001,17100001,HC NURSERY,,,171,,,"1,638", -   , -   ,655
22,17200001,17200001,HC INTENSIVE CARE NURSERY LEVEL 2,,,172,,,"5,156", -   , -   ,"2,062"
24,17300001,17300001,HC INTENSIVE CARE NURSERY LEVEL 3,,,173,,,"5,217", -   , -   ,"2,087"
26,19000002,19000002,HC HOSPICE DAILY CHARGE,,,190,,, -   , -   , -   , -   
27,19000002,19000002,HC HOSPICE DAILY CHARGE MRHS,,,190,,,, -   , -   , -   
28,20000001,20000001,HC INTENSIVE CARE-SURGICAL,,,200,,, -   , -   , -   , -   
29,20000001,20000001,HC INTENSIVE CARE-SURGICAL MRHS,,,200,,,, -   , -   , -   
30,20000002,20000002,HC INTENSIVE CARE-MEDICAL,,,200,,,"5,778", -   , -   ,"2,311"
31,20000002,20000002,HC INTENSIVE CARE-MEDICAL MRHS,,,200,,,, -   , -   , -   
32,20300001,20300001,HC PEDIATRIC ICU,,,203,,, -   , -   , -   , -   
33,20300001,20300001,HC PEDIATRIC ICU MRHS,,,203,,,, -   , -   , -   
34,20600006,20600006,HC PRIVATE TELEMETRY,,,206,,, -   , -   , -   , -   
35,20600006,20600006,HC PRIVATE TELEMETRY MRHS,,,206,,,, -   , -   , -   
36,25000434,25000434,HC NITRIC OXIDE UP TO 960PPM PER HR,,,250,,,662, -   , -   ,265
37,0255A9576,0255A9576,HC PROHANCE PER ML,,,255,A9576,,26, -   , -   ,10
38,26001071,26001071,HC IV START/HEP LOCK INSERTION,,,250,,,356, -   , -   ,142
39,26096360,26096360,HC IV HYDRATION FIRST HOUR,,,260,96360,,787,1, -   ,315
40,26096361,26096361,HC IV HYDRATION ADDITIONAL HOUR,,,260,96361,,787,1, -   ,315
41,26096365,26096365,HC IV THERAPY-NONCHEMO-FIRST HOUR,,,260,96365,,"1,151",1, -   ,460
42,26096366,26096366,HC IV THERAPY-NONCHEMO-ADDL HOUR,,,260,96366,,787,1, -   ,315
